1,"ISO/IEC/IEEE defines architecture as the fundamental concepts or properties of a system in its environment embodied in its elements, relationships, and in the principles of its design and evolution.",A) ISO/IEC/IEEE 42010,B) ISO/IEC/IEEE 15289,C) ISO/IEC/IEEE 12207,D) ISO/IEC/IEEE 29148,A
2,The ArchiMate modeling language was created in the period ______ by the Telematica Instituut.,A) 2000-2002,B) 2002-2004,C) 2004-2006,D) 2006-2008,B
3,Which of the following statement is correct regarding the Architecture Viewpoint?,A) A representation of a system from the perspective of a related set of concerns,B) A specification of the conventions for a particular kind of architecture view,C) A collection of concepts in the context of the ArchiMate language structure,"D) A connection between a source and target concept. Classified as structural, dependency, dynamic, or other",B
4,Which of the following statement best describes the Stakeholder?,A) Executives of the company,B) All members of the organisation,"C) People who have key roles in, or concerns about the system",D) A stockholder who owns shares in the organisation,C
5,How many layers of the ArchiMate core language?,A) Two,B) Three,C) Four,D) Five,B
6,"In ArchiMate models, which of the following colour used for the Business Layer?",A) Yellow,B) Orange,C) Pink,D) Black,A
7,"In ArchiMate models, which of the following colour used for the Technology Layer?",A) Blue,B) Green,C) Red,D) White ,B
8,ArchiMate core language consists of three main types of elements. Which of the following is not one of them?,A) Active structure elements,B) Behaviour elements,C) Passive structure elements,D) Data elements,D
9,"As per Notational Cues, which of the following letter in the top-left corner of an element cannot be used to denote a Motivation, Strategy, Business, Application, Technology, Physical, or Implementation & Migration element?",A) A,B) S,C) R,D) B,C
10,Which of the following statement is correct regarding Structural Relationships?,"A) It describes that the element on the source side contains, groups, performs, or realises the concept on the target side of the relationship",B) It represents that an element combines one or more other concepts,C) It represents the ability of behaviour and active structure elements to observe or act upon passive structure elements,D) It represents that an element affects the implementation or achievement of some motivation element,A
11,Which of the following statement is correct regarding the Driver?,A) It represents an external or internal condition that motivates an organisation to define its goals and implement the changes necessary to achieve them,"B) It may reveal strengths, weaknesses, opportunities, or threats for some area of interest","C) It represents a high-level statement of intent, direction, or desired end state for an organisation and its stakeholders",D) It represents a qualitative statement of intent that should be met by the architecture,A
12,How many types are there in dependency relationship?,A) Two,B) Four,C) Six,D) Eight,B
13,Is the following statement true or false? Architecture descriptions are informal descriptions of an information system.,A) True,B) False,,,B
14,"As per motivational elements, which of the following statement is correct regarding the Constraint?","A) Represents the knowledge or expertise present in, or the interpretation given to, a concept in a particular context","B) Represents the relative worth, utility, or importance of a concept",C) Represents a factor that limits the realisation of goals,D) Represents a statement of need defining a property that applies to a specific system as described by the architecture,C
15,Which of the following viewpoint is defined in Appendix C of the ArchiMate Specification?,A) Capability Map viewpoint,B) Value Stream viewpoint,C) Outcome Realisation viewpoint,D) Constraint viewpoint,D
16,What is business interface?,A) It is a business entity that is capable of performing behavior,B) It is an aggregate of two or more business internal active structure elements that work together to perform collective behavior,C) It is a point of access where a business service is made available to the environment,"D) It is the responsibility for performing specific behavior, to which an actor can be assigned, or the part an actor plays in a particular action or event",C
17,Which of the following statement(s) is/are correct regarding the Application Process?,A) It represents a sequence of application behaviors that achieves a specific result,B) It is an application behavior element that denotes a state change,C) It represents data structured for automated processing,D) All of the above,A
18,What does L stands for in WLAN?,A) Level,B) Local,C) Leverage,D) Limited,B
19,"As per specialisation of Technology Layer elements, which of the following statement is correct regarding the Node?",A) Long-range data communication network,B) is used to communicate between application components,C) A computing device that is part of a piece of equipment,D) An encapsulation of technology infrastructure that is independent of a particular product. A class of technology product,D
20,"As per defining and classifying viewpoints: purpose dimension, which of the following are examples of the Informing?  I. Animations II. Cartoons III. Cross-reference tables IV. Lists",A) I and II,B) II and III,C) III and IV,D) IV and I,A
21,Which of the following statement is correct regarding the Work Package?,A) Occurs in a single instance of time,B) Stages work to be completed at some point in time,C) It is a series of actions identified and designed to achieve specific results within specified time and resource constraints,D) Cannot be triggered by an implementation event,C
22,"As per Technology Layer elements behavior, which of the following statement is correct regarding the Technology Process?",A) It represents a technology state change,B) It represents a sequence of technology behaviors that achieves a specific result,C) It represents an explicitly defined exposed technology behavior,D) It represents a collection of technology behavior that can be performed by a node,B
23,"Is the following statement true or false? System software represents software that provides or contributes to an environment for storing, executing, and using software or data deployed within it",A) True,B) False,,,A
24,The main active structure element for the Technology Layer is the _____,A) Technology collaboration,B) Technology interaction,C) Node,D) Technology interface,C
25,Which of the following is not included in strategy elements?,A) Course of action,B) Integrity,C) Value stream,D) Capability,B
26,Which of the following concept is used to model any structural entity in the application layer?,A) Application component,B) Application collaboration,C) Application interface,D) Node,A
27,Which of the following is not included in elements Project Viewpoint?,A) Work package,B) Plateau,C) Deliverable,D) Business role,B
28,Is the following statement true or false? An element that represents the context of or reason behind the architecture of an enterprise is known as Core Element.,A) True,B) False,,,B
29,"Which of the following letter in the top-left corner of an element can be used to denote a Motivation, Strategy, Business, Application, Technology, Physical, or Implementation & Migration element?",A) M,B) K,C) Q,D) C,A
30,Which of the following is/are included in the Behavior Elements?,A) Processes,B) Functions,C) Interactions,D) All of the above ,D
31,The element that denoted by using boxes with diagonal corners is __________.,a) Active structure,b) Behavior,c) Passive structure,d) Motivation,D
32,"If the concepts have some common characteristics, they can be aggregated or composed using _______________ element.",a) Composition,b)ʌocation,c) Aggregation,d) Grouping,D
33,Which of the following is the best interpretation for the composition relationship?,a) A composition relationship represents that the part of the source element is composed of the whole of the target element,b) A composition relationship represents that the whole of the source element is composed of the whole or part of the target element,c) A composition relationship represents that the whole or part of the source element is composed of the whole of the target element,d) A composition relationship represents that the whole of the source element is composed of the whole of the target element,C
34,"Business actor, business process, and business service can be depicted by _______________.",a) Business Layer,b) Technology Layer,c) Application Layer,d) All layers,A
35,A ___________ element represents the justification behind the architecture of an enterprise.,a) Active structure,b) Motivation,c) Passive structure,d) Behavior,B
36,Examples of generic composite elements are:,a) Location,b) Aggregation,c) Grouping,d) Composition,C
37,Which relationships represent the static construction or composition of concepts of the same or different types?,a) Dynamic,b) Other relationships,c) Structural,d)ʄependency,C
38,Strategy and Implementation and Migration layers are included in _____________________________.,a) ArchiMate Core Framework and ArchiMate Full Framework,b) ArchiMate Full Framework,c)ʅnterprise Architecture,d) ArchiMate Core Framework,B
39,How many certification levels are there in the ArchiMate 3 People Certification Program?,a) 4,b) 3,c) 2,d) 1,C
40,Application components and application services can be depicted by _______________.,a) The Technology Layer,b) All Layer,c) The Business Layer,d) The Application Layer,D
